"No.","Time","Source","Destination","Protocol","Length","Info"
"1647","14.135443","192.168.1.13","103.163.249.77","UDP","76","57189  >  443 Len=34"
"1648","14.144558","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1649","14.145011","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1650","14.145544","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1651","14.146072","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1652","14.146582","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1653","14.147118","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1654","14.150467","192.168.1.13","103.163.249.77","UDP","75","57189  >  443 Len=33"
"1655","14.151559","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1656","14.152092","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1657","14.152638","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1658","14.153163","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1659","14.153769","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1660","14.154270","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1661","14.154270","23.34.81.65","192.168.1.13","TCP","60","443  >  63197 [ACK] Seq=1 Ack=301 Win=64128 Len=0"
"1662","14.155304","23.34.81.65","192.168.1.13","TLSv1.3","1506","Server Hello, Change Cipher Spec, Application Data"
"1663","14.155965","23.34.81.65","192.168.1.13","TCP","1506","443  >  63197 [PSH, ACK] Seq=1453 Ack=301 Win=64128 Len=1452 [TCP PDU reassembled in 1665]"
"1664","14.155983","192.168.1.13","23.34.81.65","TCP","54","63197  >  443 [ACK] Seq=301 Ack=2905 Win=66560 Len=0"
"1665","14.156402","23.34.81.65","192.168.1.13","TLSv1.3","1078","Application Data, Application Data, Application Data"
"1666","14.157000","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1667","14.157215","192.168.1.13","103.163.249.77","UDP","74","57189  >  443 Len=32"
"1668","14.157526","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1669","14.158030","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1670","14.161634","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1671","14.161857","192.168.1.13","103.163.249.77","UDP","79","57189  >  443 Len=37"
"1672","14.186098","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1673","14.186650","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1674","14.187218","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1675","14.187810","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1676","14.188255","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1677","14.188775","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1678","14.196693","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1679","14.196896","192.168.1.13","23.34.81.65","TCP","54","63197  >  443 [ACK] Seq=301 Ack=3929 Win=65536 Len=0"
"1680","14.197126","192.168.1.13","103.163.249.77","UDP","74","57189  >  443 Len=32"
"1681","14.204101","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1682","14.204101","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1683","14.204886","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1684","14.205707","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1685","14.205707","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1686","14.206439","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1687","14.206439","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1688","14.207235","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1689","14.207392","192.168.1.13","103.163.249.77","UDP","76","57189  >  443 Len=34"
"1690","14.210218","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1691","14.210291","192.168.1.13","103.163.249.77","UDP","76","57189  >  443 Len=34"
"1692","14.210735","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1693","14.210789","192.168.1.13","103.163.249.77","UDP","76","57189  >  443 Len=34"
"1694","14.211332","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1695","14.211388","192.168.1.13","103.163.249.77","UDP","76","57189  >  443 Len=34"
"1696","14.211863","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1697","14.211929","192.168.1.13","103.163.249.77","UDP","77","57189  >  443 Len=35"
"1698","14.212417","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1699","14.212573","192.168.1.13","103.163.249.77","UDP","77","57189  >  443 Len=35"
"1700","14.212915","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1701","14.213050","192.168.1.13","103.163.249.77","UDP","77","57189  >  443 Len=35"
"1702","14.213772","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1703","14.213903","192.168.1.13","103.163.249.77","UDP","77","57189  >  443 Len=35"
"1704","14.214285","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1705","14.214410","192.168.1.13","103.163.249.77","UDP","77","57189  >  443 Len=35"
"1706","14.214885","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1707","14.215017","192.168.1.13","103.163.249.77","UDP","77","57189  >  443 Len=35"
"1708","14.215406","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1709","14.215525","192.168.1.13","103.163.249.77","UDP","77","57189  >  443 Len=35"
"1710","14.215931","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1711","14.216033","192.168.1.13","103.163.249.77","UDP","77","57189  >  443 Len=35"
"1712","14.216445","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1713","14.216558","192.168.1.13","103.163.249.77","UDP","77","57189  >  443 Len=35"
"1714","14.227724","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1715","14.227907","192.168.1.13","103.163.249.77","UDP","77","57189  >  443 Len=35"
"1716","14.228204","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1717","14.228357","192.168.1.13","103.163.249.77","UDP","77","57189  >  443 Len=35"
"1718","14.228796","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1719","14.228912","192.168.1.13","103.163.249.77","UDP","77","57189  >  443 Len=35"
"1720","14.229306","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1721","14.229403","192.168.1.13","103.163.249.77","UDP","77","57189  >  443 Len=35"
"1722","14.229838","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1723","14.229939","192.168.1.13","103.163.249.77","UDP","75","57189  >  443 Len=33"
"1724","14.230357","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1725","14.231196","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1726","14.231723","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1727","14.241842","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1728","14.241842","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1729","14.241842","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1730","14.242101","192.168.1.13","103.163.249.77","UDP","79","57189  >  443 Len=37"
"1731","14.242364","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1732","14.242955","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1733","14.243495","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1734","14.244008","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1735","14.244527","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1736","14.248910","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1737","14.249061","192.168.1.13","103.163.249.77","UDP","74","57189  >  443 Len=32"
"1738","14.249428","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1739","14.250026","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1740","14.250549","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1741","14.251071","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1742","14.251592","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1743","14.252422","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1744","14.252956","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1745","14.253543","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1746","14.253650","192.168.1.13","103.163.249.77","UDP","74","57189  >  443 Len=32"
"1747","14.254066","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1748","14.254590","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1749","14.255124","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1750","14.255969","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1751","14.256472","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1752","14.257071","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1753","14.257645","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1754","14.258119","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1755","14.258214","192.168.1.13","103.163.249.77","UDP","74","57189  >  443 Len=32"
"1756","14.258645","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1757","14.260609","192.168.1.13","23.34.81.65","TLSv1.3","134","Change Cipher Spec, Application Data"
"1758","14.270675","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1759","14.270855","192.168.1.13","103.163.249.77","UDP","74","57189  >  443 Len=32"
"1760","14.271190","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1761","14.271787","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1762","14.272313","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1763","14.272832","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1764","14.273353","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1765","14.289189","192.168.1.13","103.163.249.77","UDP","76","57189  >  443 Len=34"
"1766","14.290218","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1767","14.290713","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1768","14.291310","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1769","14.291825","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1770","14.292353","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1771","14.292876","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1772","14.297261","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1773","14.297403","192.168.1.13","103.163.249.77","UDP","75","57189  >  443 Len=33"
"1774","14.297830","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1775","14.298388","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1776","14.298906","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1777","14.299452","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1778","14.299970","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1779","14.304256","192.168.1.13","103.163.249.77","UDP","76","57189  >  443 Len=34"
"1780","14.304377","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1781","14.304930","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1782","14.305467","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1783","14.305995","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1784","14.306521","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1785","14.307049","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1786","14.320252","192.168.1.13","103.163.249.77","UDP","76","57189  >  443 Len=34"
"1787","14.337769","192.168.1.13","23.34.81.65","TLSv1.3","134","Application Data"
"1788","14.337836","192.168.1.13","23.34.81.65","TLSv1.3","169","Application Data"
"1789","14.351600","192.168.1.13","142.251.10.188","TCP","55","62781  >  5228 [ACK] Seq=1 Ack=1 Win=259 Len=1"
"1790","14.354034","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1791","14.354536","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1792","14.355145","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1793","14.355674","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1794","14.356202","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1795","14.356754","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1796","14.358018","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1797","14.358159","192.168.1.13","103.163.249.77","UDP","75","57189  >  443 Len=33"
"1798","14.359316","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1799","14.360630","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1800","14.361940","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1801","14.366895","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1802","14.367036","192.168.1.13","103.163.249.77","UDP","76","57189  >  443 Len=34"
"1803","14.367241","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1804","14.367838","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1805","14.368344","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1806","14.368455","192.168.1.13","103.163.249.77","UDP","77","57189  >  443 Len=35"
"1807","14.368835","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1808","14.368901","192.168.1.13","103.163.249.77","UDP","77","57189  >  443 Len=35"
"1809","14.369354","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1810","14.369433","192.168.1.13","103.163.249.77","UDP","77","57189  >  443 Len=35"
"1811","14.384141","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1812","14.384335","192.168.1.13","103.163.249.77","UDP","77","57189  >  443 Len=35"
"1813","14.384687","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1814","14.384834","192.168.1.13","103.163.249.77","UDP","78","57189  >  443 Len=36"
"1815","14.385280","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1816","14.385402","192.168.1.13","103.163.249.77","UDP","78","57189  >  443 Len=36"
"1817","14.385786","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1818","14.385910","192.168.1.13","103.163.249.77","UDP","78","57189  >  443 Len=36"
"1819","14.386309","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1820","14.386428","192.168.1.13","103.163.249.77","UDP","78","57189  >  443 Len=36"
"1821","14.386809","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1822","14.386908","192.168.1.13","103.163.249.77","UDP","78","57189  >  443 Len=36"
"1823","14.387668","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1824","14.387805","192.168.1.13","103.163.249.77","UDP","83","57189  >  443 Len=41"
"1825","14.388354","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1826","14.388468","192.168.1.13","103.163.249.77","UDP","78","57189  >  443 Len=36"
"1827","14.388822","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1828","14.388924","192.168.1.13","103.163.249.77","UDP","78","57189  >  443 Len=36"
"1829","14.389282","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1830","14.389374","192.168.1.13","103.163.249.77","UDP","78","57189  >  443 Len=36"
"1831","14.389820","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1832","14.389928","192.168.1.13","103.163.249.77","UDP","78","57189  >  443 Len=36"
"1833","14.390340","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1834","14.390465","192.168.1.13","103.163.249.77","UDP","78","57189  >  443 Len=36"
"1835","14.391176","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1836","14.391295","192.168.1.13","103.163.249.77","UDP","78","57189  >  443 Len=36"
"1837","14.391673","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1838","14.391764","192.168.1.13","103.163.249.77","UDP","78","57189  >  443 Len=36"
